query_id,family_id,split,gold_route,query_text,status
v19f_cal_text_evidence_01_approved_budget_p1,v19f_cal_text_evidence_01_approved_budget,calibration,text_evidence,这份方案最后核准的项目经费总额是多少？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_01_approved_budget_p2,v19f_cal_text_evidence_01_approved_budget,calibration,text_evidence,帮我查出材料里正式批下来的预算合计。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_01_approved_budget_p3,v19f_cal_text_evidence_01_approved_budget,calibration,text_evidence,文件明确核定了多少项目资金？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_01_approved_budget_p4,v19f_cal_text_evidence_01_approved_budget,calibration,text_evidence,我需要文中最终批准的经费总数。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_02_acceptance_date_p1,v19f_cal_text_evidence_02_acceptance_date,calibration,text_evidence,报告把最终验收日期定在了哪一天？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_02_acceptance_date_p2,v19f_cal_text_evidence_02_acceptance_date,calibration,text_evidence,请确认材料中写明的项目验收时间。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_02_acceptance_date_p3,v19f_cal_text_evidence_02_acceptance_date,calibration,text_evidence,文件约定什么时候完成最终验收？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_02_acceptance_date_p4,v19f_cal_text_evidence_02_acceptance_date,calibration,text_evidence,帮我找出正文里登记的验收日期。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_03_contact_phone_p1,v19f_cal_text_evidence_03_contact_phone,calibration,text_evidence,申请材料中留下的联系人电话是什么？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_03_contact_phone_p2,v19f_cal_text_evidence_03_contact_phone,calibration,text_evidence,帮我查一下表里登记的联系电话。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_03_contact_phone_p3,v19f_cal_text_evidence_03_contact_phone,calibration,text_evidence,文件给出的项目联系人手机号是多少？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_03_contact_phone_p4,v19f_cal_text_evidence_03_contact_phone,calibration,text_evidence,我需要材料中明确填写的联络号码。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_04_table_third_rank_p1,v19f_cal_text_evidence_04_table_third_rank,calibration,text_evidence,统计表中排名第三的是哪家机构？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_04_table_third_rank_p2,v19f_cal_text_evidence_04_table_third_rank,calibration,text_evidence,请告诉我表格第三位对应的单位名称。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_04_table_third_rank_p3,v19f_cal_text_evidence_04_table_third_rank,calibration,text_evidence,哪家单位在材料的排序表里排第三？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_04_table_third_rank_p4,v19f_cal_text_evidence_04_table_third_rank,calibration,text_evidence,帮我读取榜单第三行的机构。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_05_exact_delivery_phrase_p1,v19f_cal_text_evidence_05_exact_delivery_phrase,calibration,text_evidence,哪份文件原文写了“分批交付”？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_05_exact_delivery_phrase_p2,v19f_cal_text_evidence_05_exact_delivery_phrase,calibration,text_evidence,帮我定位明确出现“分批交付”四个字的页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_05_exact_delivery_phrase_p3,v19f_cal_text_evidence_05_exact_delivery_phrase,calibration,text_evidence,材料里哪里提到了“分批交付”？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_text_evidence_05_exact_delivery_phrase_p4,v19f_cal_text_evidence_05_exact_delivery_phrase,calibration,text_evidence,我想找包含原句“分批交付”的那一页。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_01_red_umbrella_rain_p1,v19f_cal_visual_discovery_01_red_umbrella_rain,calibration,visual_discovery,想找雨夜街头撑着红伞的行人画面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_01_red_umbrella_rain_p2,v19f_cal_visual_discovery_01_red_umbrella_rain,calibration,visual_discovery,有没有红色雨伞出现在湿漉漉街道上的照片？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_01_red_umbrella_rain_p3,v19f_cal_visual_discovery_01_red_umbrella_rain,calibration,visual_discovery,帮我翻出那张下雨时有人举红伞过街的图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_01_red_umbrella_rain_p4,v19f_cal_visual_discovery_01_red_umbrella_rain,calibration,visual_discovery,我记得一幅夜间街景里最显眼的是红雨伞。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_02_deer_snow_forest_p1,v19f_cal_visual_discovery_02_deer_snow_forest,calibration,visual_discovery,找一只鹿穿过积雪树林的照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_02_deer_snow_forest_p2,v19f_cal_visual_discovery_02_deer_snow_forest,calibration,visual_discovery,哪张图里雪地森林中有鹿在行走？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_02_deer_snow_forest_p3,v19f_cal_visual_discovery_02_deer_snow_forest,calibration,visual_discovery,我想看冬天林间出现一头鹿的画面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_02_deer_snow_forest_p4,v19f_cal_visual_discovery_02_deer_snow_forest,calibration,visual_discovery,帮我找白雪覆盖的树林和棕色鹿同框的图片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_03_blue_kayak_lake_p1,v19f_cal_visual_discovery_03_blue_kayak_lake,calibration,visual_discovery,有没有蓝色皮划艇漂在碧绿湖面上的画面？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_03_blue_kayak_lake_p2,v19f_cal_visual_discovery_03_blue_kayak_lake,calibration,visual_discovery,找一张清澈湖水里有蓝色小艇的照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_03_blue_kayak_lake_p3,v19f_cal_visual_discovery_03_blue_kayak_lake,calibration,visual_discovery,帮我翻出那幅蓝色独木舟停在绿色湖中的图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_03_blue_kayak_lake_p4,v19f_cal_visual_discovery_03_blue_kayak_lake,calibration,visual_discovery,我需要蓝艇与翠绿色湖水同框的自然照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_04_chef_wok_flame_p1,v19f_cal_visual_discovery_04_chef_wok_flame,calibration,visual_discovery,找厨师颠锅时火焰腾起的照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_04_chef_wok_flame_p2,v19f_cal_visual_discovery_04_chef_wok_flame,calibration,visual_discovery,有没有厨房里师傅炒菜冒出大火的画面？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_04_chef_wok_flame_p3,v19f_cal_visual_discovery_04_chef_wok_flame,calibration,visual_discovery,我记得一张图中厨师正把锅抛起，旁边有火苗。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_04_chef_wok_flame_p4,v19f_cal_visual_discovery_04_chef_wok_flame,calibration,visual_discovery,帮我寻找餐馆后厨颠炒锅并出现火焰的图片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_05_child_kite_grass_p1,v19f_cal_visual_discovery_05_child_kite_grass,calibration,visual_discovery,想看孩子在草地上跑着放风筝的照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_05_child_kite_grass_p2,v19f_cal_visual_discovery_05_child_kite_grass,calibration,visual_discovery,哪幅画面里小朋友牵着风筝穿过绿色草坪？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_05_child_kite_grass_p3,v19f_cal_visual_discovery_05_child_kite_grass,calibration,visual_discovery,帮我找儿童在户外草地放飞风筝的图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_discovery_05_child_kite_grass_p4,v19f_cal_visual_discovery_05_child_kite_grass,calibration,visual_discovery,有没有一个孩子奔跑、空中挂着风筝的场景？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_01_cover_bottom_logo_p1,v19f_cal_visual_metadata_01_cover_bottom_logo,calibration,visual_metadata,找标题竖排居中、右下角放有校徽的封面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_01_cover_bottom_logo_p2,v19f_cal_visual_metadata_01_cover_bottom_logo,calibration,visual_metadata,哪张封面把主标题竖着排在中间，徽标放在底部右侧？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_01_cover_bottom_logo_p3,v19f_cal_visual_metadata_01_cover_bottom_logo,calibration,visual_metadata,帮我定位中央竖排标题配右下角圆形标志的首页。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_01_cover_bottom_logo_p4,v19f_cal_visual_metadata_01_cover_bottom_logo,calibration,visual_metadata,我记得封面中线是竖标题，右下方还有一个校徽。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_02_table_frozen_column_p1,v19f_cal_visual_metadata_02_table_frozen_column,calibration,visual_metadata,找第一列固定、表头使用深蓝底色的数据表。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_02_table_frozen_column_p2,v19f_cal_visual_metadata_02_table_frozen_column,calibration,visual_metadata,哪张表格左侧首列保持不动，上方标题栏是蓝色？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_02_table_frozen_column_p3,v19f_cal_visual_metadata_02_table_frozen_column,calibration,visual_metadata,帮我定位带冻结首列和深蓝表头的统计表。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_02_table_frozen_column_p4,v19f_cal_visual_metadata_02_table_frozen_column,calibration,visual_metadata,我需要版式上首列独立固定、顶部蓝色的表格页。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_03_dashboard_filter_map_p1,v19f_cal_visual_metadata_03_dashboard_filter_map,calibration,visual_metadata,找左侧是筛选面板、右侧占大半区域为地图的仪表盘。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_03_dashboard_filter_map_p2,v19f_cal_visual_metadata_03_dashboard_filter_map,calibration,visual_metadata,哪张界面把过滤条件放在左栏，把地图放在右边？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_03_dashboard_filter_map_p3,v19f_cal_visual_metadata_03_dashboard_filter_map,calibration,visual_metadata,帮我定位左窄右宽、右侧展示地图的后台页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_03_dashboard_filter_map_p4,v19f_cal_visual_metadata_03_dashboard_filter_map,calibration,visual_metadata,我记得一个数据面板左边有筛选器，右边是一张大地图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_04_two_column_footnotes_p1,v19f_cal_visual_metadata_04_two_column_footnotes,calibration,visual_metadata,找正文分双栏且页脚列有三条脚注的页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_04_two_column_footnotes_p2,v19f_cal_visual_metadata_04_two_column_footnotes,calibration,visual_metadata,哪一页上半部是左右两栏，底部还有三条脚注？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_04_two_column_footnotes_p3,v19f_cal_visual_metadata_04_two_column_footnotes,calibration,visual_metadata,帮我定位双栏正文配三项页脚注释的文档页。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_04_two_column_footnotes_p4,v19f_cal_visual_metadata_04_two_column_footnotes,calibration,visual_metadata,我需要版面为两列、页尾集中放脚注的那一页。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_05_four_images_row_p1,v19f_cal_visual_metadata_05_four_images_row,calibration,visual_metadata,找四张图片横向排成一整行的幻灯片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_05_four_images_row_p2,v19f_cal_visual_metadata_05_four_images_row,calibration,visual_metadata,哪页演示文稿把四幅小图并排放置？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_05_four_images_row_p3,v19f_cal_visual_metadata_05_four_images_row,calibration,visual_metadata,帮我定位页面中部横排四张等宽图片的课件。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_visual_metadata_05_four_images_row_p4,v19f_cal_visual_metadata_05_four_images_row,calibration,visual_metadata,我记得有张幻灯片只有一行四个图块。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_01_person_liang_siyuan_p1,v19f_cal_entity_exact_01_person_liang_siyuan,calibration,entity_exact,查一下梁思远。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_01_person_liang_siyuan_p2,v19f_cal_entity_exact_01_person_liang_siyuan,calibration,entity_exact,材料里有没有梁思远？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_01_person_liang_siyuan_p3,v19f_cal_entity_exact_01_person_liang_siyuan,calibration,entity_exact,帮我定位梁思远的记录。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_01_person_liang_siyuan_p4,v19f_cal_entity_exact_01_person_liang_siyuan,calibration,entity_exact,梁思远出现在哪些页面？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_02_person_gu_qinghe_p1,v19f_cal_entity_exact_02_person_gu_qinghe,calibration,entity_exact,帮我找顾清禾。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_02_person_gu_qinghe_p2,v19f_cal_entity_exact_02_person_gu_qinghe,calibration,entity_exact,看看文件中是否提到顾清禾。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_02_person_gu_qinghe_p3,v19f_cal_entity_exact_02_person_gu_qinghe,calibration,entity_exact,顾清禾对应的资料有哪些？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_02_person_gu_qinghe_p4,v19f_cal_entity_exact_02_person_gu_qinghe,calibration,entity_exact,我需要检索顾清禾这个名字。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_03_person_tang_yichen_p1,v19f_cal_entity_exact_03_person_tang_yichen,calibration,entity_exact,检索唐亦辰。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_03_person_tang_yichen_p2,v19f_cal_entity_exact_03_person_tang_yichen,calibration,entity_exact,唐亦辰在哪份名单里？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_03_person_tang_yichen_p3,v19f_cal_entity_exact_03_person_tang_yichen,calibration,entity_exact,请定位材料中的唐亦辰。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_03_person_tang_yichen_p4,v19f_cal_entity_exact_03_person_tang_yichen,calibration,entity_exact,库里能查到唐亦辰吗？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_04_org_yuanlan_tech_p1,v19f_cal_entity_exact_04_org_yuanlan_tech,calibration,entity_exact,查找远岚科技。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_04_org_yuanlan_tech_p2,v19f_cal_entity_exact_04_org_yuanlan_tech,calibration,entity_exact,哪些材料提到了远岚科技？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_04_org_yuanlan_tech_p3,v19f_cal_entity_exact_04_org_yuanlan_tech,calibration,entity_exact,帮我定位远岚科技的相关记录。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_04_org_yuanlan_tech_p4,v19f_cal_entity_exact_04_org_yuanlan_tech,calibration,entity_exact,检索实体“远岚科技”。,adjudicated_formal_calibration_30pct_double_review
