query,expected_route,evidence_policy,reason
山水,visual_discovery,recall_first_blend,视觉主题词需要适量发现相关画面
森林,visual_discovery,recall_first_blend,自然场景主题
蓝天白云,visual_discovery,recall_first_blend,组合视觉主题
海边日落,visual_discovery,recall_first_blend,组合视觉主题
湖泊倒影,visual_discovery,recall_first_blend,组合视觉主题
草原,visual_discovery,recall_first_blend,自然场景主题
瀑布,visual_discovery,recall_first_blend,自然场景主题
美丽,visual_discovery,recall_first_blend,主观视觉发现词
蓝,visual_discovery,color_visual_blend,单字颜色必须进入视觉检索
蓝色汽车,visual_discovery,color_visual_blend,颜色与物体组合查询
天地,visual_discovery,recall_first_blend,宽泛自然画面概念
沙漠,visual_discovery,recall_first_blend,未见过的常见自然视觉主题
城市夜景,visual_discovery,recall_first_blend,城市视觉主题
跑车,visual_discovery,recall_first_blend,物体视觉主题
方岩松,entity_exact,exact_text_required,短人名必须有精确文字证据
盛和,entity_exact,exact_text_required,歧义短人名采用保守精确策略
张三,entity_exact,exact_text_required,常见人名
李白,entity_exact,exact_text_required,常见人名
欧阳娜娜,entity_exact,exact_text_required,复姓人名
姓名是方岩松,entity_exact,exact_text_required,明确姓名上下文
找一个名为方岩松的人,entity_exact,exact_text_required,明确人物上下文
方程式,topic_discovery,text_keyword_blend,技术名词不能按姓氏误判
林业,topic_discovery,text_keyword_blend,行业名词不能按姓氏误判
马达,topic_discovery,text_keyword_blend,普通名词不能按姓氏误判
高等数学,topic_discovery,text_keyword_blend,课程主题
量子力学,topic_discovery,text_keyword_blend,学术主题
深度学习,topic_discovery,text_keyword_blend,技术主题
神经网络,topic_discovery,text_keyword_blend,技术主题
王者荣耀,topic_discovery,text_keyword_blend,产品主题不能按人名误判
高速公路,topic_discovery,text_keyword_blend,地点主题不能按人名误判
田野,visual_discovery,recall_first_blend,自然场景主题不能按人名误判
自然语言处理,topic_discovery,text_keyword_blend,自然一词不能覆盖技术语境
建筑学,topic_discovery,text_keyword_blend,建筑一词不能覆盖学术语境
动物学,topic_discovery,text_keyword_blend,动物一词不能覆盖学术语境
车辆工程,topic_discovery,text_keyword_blend,车辆一词不能覆盖工程语境
蓝牙,topic_discovery,text_keyword_blend,颜色单字不能误伤技术名词
白血病,topic_discovery,text_keyword_blend,颜色单字不能误伤医学名词
哪份文档包含课程成绩,text_evidence,calibrated_answer_gate,明确文本证据问题
哪张图片上写着北京理工大学,text_evidence,calibrated_answer_gate,图片中的文字证据优先
地址是哪里,text_evidence,calibrated_answer_gate,字段型事实查询
编号20210001在哪份文件,text_evidence,calibrated_answer_gate,编号型精确查询
找一张红色跑车照片,visual_discovery,recall_first_blend,显式图片形式与视觉主题共同出现
哪张图片是身份证正面,visual_metadata,visual_metadata_blend,显式图片形式
如何设计一个检索系统,mixed,calibrated_answer_gate,开放式问题不应仅凭长度归类
谁获得了一等奖,mixed,calibrated_answer_gate,事实问题需要多路证据与拒答门控
