query_id,family_id,gold_route,query_text,ambiguity_focus,label_basis,status
v19p_text_001,text_budget,text_evidence,这份方案里核定的项目经费合计是多少元？,口语化数值查证,答案必须来自明确金额文字,draft_pilot_not_final
v19p_text_002,text_deadline,text_evidence,材料把最终验收日期定在了哪一天？,省略文档字段名,答案必须来自明确日期文字,draft_pilot_not_final
v19p_text_003,text_contact,text_evidence,申请表上留的联系人电话是什么？,自然问法,答案必须来自表单文字,draft_pilot_not_final
v19p_text_004,text_table_rank,text_evidence,统计表里排在第三位的是哪家单位？,表格语义,答案必须读取表格单元格,draft_pilot_not_final
v19p_text_005,text_quote,text_evidence,哪份文件明确提到“分阶段交付”？,短语证据,目标由页面原文决定,draft_pilot_not_final
v19p_text_006,text_invoice,text_evidence,帮我确认一下发票号码末四位。,口语化字段查证,答案必须读取票据号码,draft_pilot_not_final
v19p_text_007,text_title,text_evidence,标题写着“设备采购清单”的页面在哪里？,标题文字定位,目标由页面标题文字决定,draft_pilot_not_final
v19p_text_008,text_rate,text_evidence,报告最后给出的同比增长率是多少？,统计数值查证,答案必须读取报告数值,draft_pilot_not_final
v19p_text_009,text_two_literals,text_evidence,找出既写了合同编号又写了签署日期的那一页。,多个纯文字条件,全部必要条件仍只依赖文字,draft_pilot_not_final
v19p_text_010,text_model,text_evidence,附件里登记的设备型号具体是什么？,实体词不等于实体路由,答案必须读取型号字段,draft_pilot_not_final
v19p_text_011,text_notice,text_evidence,哪则通知要求周五之前提交纸质版？,自然语言事实查证,目标由通知原文决定,draft_pilot_not_final
v19p_text_012,text_caption,text_evidence,图片下方的说明文字把这个装置称作什么？,提到图片但问题查文字,答案来自图注而非视觉对象,draft_pilot_not_final
v19p_visual_001,visual_seaside,visual_discovery,想找一张天色偏蓝的海边照片。,颜色与场景组合,必须识别颜色和自然场景,draft_pilot_not_final
v19p_visual_002,visual_machine,visual_discovery,有没有工人在车间操作大型机器的画面？,对象动作场景,必须识别人和动作,draft_pilot_not_final
v19p_visual_003,visual_bridge,visual_discovery,帮我翻出那张雾里跨江大桥的图。,口语化视觉回忆,必须识别雾和桥梁场景,draft_pilot_not_final
v19p_visual_004,visual_animal,visual_discovery,我记得有只白鸟正从水面飞起来。,对象动作,必须识别鸟和起飞动作,draft_pilot_not_final
v19p_visual_005,visual_building,visual_discovery,找外墙是红砖并带钟楼的建筑照片。,复合视觉属性,颜色和建筑部件必须同时满足,draft_pilot_not_final
v19p_visual_006,visual_food,visual_discovery,哪张图里是一碗撒着葱花的面？,细粒度对象属性,必须依赖食物外观,draft_pilot_not_final
v19p_visual_007,visual_road,visual_discovery,我想看夜里路灯照着弯曲山路的画面。,场景与光照,必须理解夜景道路和照明,draft_pilot_not_final
v19p_visual_008,visual_boat,visual_discovery,把那艘靠在冰岸旁的橙色小船找出来。,颜色关系场景,必须识别船颜色和空间关系,draft_pilot_not_final
v19p_visual_009,visual_flower,visual_discovery,有没有近距离拍摄的紫色花朵？,颜色与拍摄尺度,必须依赖视觉内容,draft_pilot_not_final
v19p_visual_010,visual_sport,visual_discovery,找球员跃起投篮的比赛照片。,动作识别,必须识别人物动作,draft_pilot_not_final
v19p_visual_011,visual_sunset,visual_discovery,哪幅画面能看到夕阳映在湖面上？,自然语言视觉语义,必须识别日落与倒影,draft_pilot_not_final
v19p_visual_012,visual_vehicle,visual_discovery,我印象里有辆黄色越野车停在沙地上。,颜色对象场景,必须识别车辆颜色和环境,draft_pilot_not_final
v19p_layout_001,layout_two_column,visual_metadata,找正文分成左右两栏的那一页。,版面结构,目标由双栏布局决定,draft_pilot_not_final
v19p_layout_002,layout_chart_right,visual_metadata,哪页右侧放着一张环形图？,位置与图表类型,必须识别页面布局,draft_pilot_not_final
v19p_layout_003,layout_signature,visual_metadata,帮我找底部留有三处签字框的表单。,表单结构,必须识别签字区域和数量,draft_pilot_not_final
v19p_layout_004,layout_screenshot,visual_metadata,那张左边是菜单栏右边是数据面板的界面截图在哪？,界面空间结构,必须识别界面分区,draft_pilot_not_final
v19p_layout_005,layout_table,visual_metadata,找表头用了两层合并单元格的统计表。,细粒度表格结构,必须识别表格层级,draft_pilot_not_final
v19p_layout_006,layout_flow,visual_metadata,哪一页画了从上往下展开的流程图？,图形方向,必须识别流程图布局,draft_pilot_not_final
v19p_layout_007,layout_logo,visual_metadata,找右上角带圆形校徽的封面。,位置对象组合,页面位置是必要条件,draft_pilot_not_final
v19p_layout_008,layout_tiles,visual_metadata,我记得有页把六张小图排成两行三列。,网格布局,必须识别图片排列,draft_pilot_not_final
v19p_layout_009,layout_annotation,visual_metadata,哪张示意图周围标了四个箭头注释？,图形标注结构,必须识别箭头和布局,draft_pilot_not_final
v19p_layout_010,layout_timeline,visual_metadata,帮我找横向时间轴占据页面下半部分的那页。,位置与图形结构,必须识别时间轴布局,draft_pilot_not_final
v19p_layout_011,layout_form,visual_metadata,哪份表格左侧是一列勾选框？,控件位置,必须识别复选框布局,draft_pilot_not_final
v19p_layout_012,layout_equation,visual_metadata,找中间是一条大公式而四周都是解释文字的页面。,版面关系,必须依赖公式与文字区域布局,draft_pilot_not_final
