query_id,query,query_type,route,is_no_answer,expected_item_id,relevant_item_ids,split,review_status,label_source,generation_method,evidence,notes
v16_cal_001,哪份资料中同时出现“舱单传输人”和“理货报告提交人”？,text_evidence,text_evidence,False,user_aaed48df68b4,user_aaed48df68b4,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,舱单传输人 | 理货报告提交人,
v16_cal_002,哪份资料中同时出现“个人职业生涯规划”和“向往的职位”？,text_evidence,text_evidence,False,user_def2c7f7f795,user_def2c7f7f795,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,个人职业生涯规划 | 向往的职位,
v16_cal_003,哪份资料中同时出现“一般纳税人转为小规模纳税人登记表”和“统一社会信用代码”？,text_evidence,text_evidence,False,user_ffd23198339f,user_ffd23198339f,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,一般纳税人转为小规模纳税人登记表 | 统一社会信用代码,
v16_cal_004,哪份资料中同时出现“技术难题解决需求征集表”和“生产工艺技术简介”？,text_evidence,text_evidence,False,user_2022a42a27de,user_2022a42a27de,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,技术难题解决需求征集表 | 生产工艺技术简介,
v16_cal_005,哪份资料中同时出现“公务员登记表”和“现工作单位”？,text_evidence,text_evidence,False,user_4d002433ea11,user_4d002433ea11,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,公务员登记表 | 现工作单位,
v16_cal_006,哪份资料中同时出现“血清总胆固醇”和“甘油三酯”？,text_evidence,text_evidence,False,user_79803fac6565,user_79803fac6565,calibration,frozen_ai_source_verified,source_metadata_or_ocr,two_exact_ocr_phrases,血清总胆固醇 | 甘油三酯,
v16_cal_007,找一张雨伞照片,visual_metadata,visual_metadata,False,user_2f4ee91deb15,user_2f4ee91deb15;user_411c17558eec;user_4321e3c7006f;user_57a1124babed;user_5b0f6df6e0fd;user_f973ef70790d,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=umbrella,
v16_cal_008,找一张照相机照片,visual_metadata,visual_metadata,False,user_51dea64b50d5,user_51dea64b50d5;user_796a71dfbbc7;user_a923fe75024e;user_ab89d524e19d;user_ae88892c36bd,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=camera,
v16_cal_009,找一张手机照片,visual_metadata,visual_metadata,False,user_2b2c4b8e4078,user_2b2c4b8e4078;user_5dff50449fe7;user_85f3e3c747cf,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=cellphone,
v16_cal_010,找一张椅子照片,visual_metadata,visual_metadata,False,user_141573d2c40d,user_141573d2c40d;user_2f99967b094e;user_afab35958946,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=chair,
v16_cal_011,找一张海狸照片,visual_metadata,visual_metadata,False,user_41939e0ae62e,user_41939e0ae62e;user_465062eee703;user_7fef3f4aacd3;user_b315eee8cd3f,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=beaver,
v16_cal_012,找一张鹮类照片,visual_metadata,visual_metadata,False,user_8896978b1234,user_8896978b1234;user_89c305b99924;user_9aca1f5f410e;user_e0ecb554f328,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=ibis,
v16_cal_013,找一张蝴蝶与花朵相关的动物照片,visual_discovery,visual_discovery,False,user_24bc783bebd9,user_24bc783bebd9;user_4fea65e99525;user_7ddbb5c5259d;user_9291e6654a00;user_ef92556f14c1;user_f12315bc7cff,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=butterfly,
v16_cal_014,找一张海豚动物照片,visual_discovery,visual_discovery,False,user_0865f06a475d,user_0865f06a475d;user_777ac8e712df;user_ea5a440142ac,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=dolphin,
v16_cal_015,找一张大象动物照片,visual_discovery,visual_discovery,False,user_33ed4491574f,user_33ed4491574f;user_c92fd0461f4d,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=elephant,
v16_cal_016,找一张袋鼠动物照片,visual_discovery,visual_discovery,False,user_3687b7024c76,user_3687b7024c76;user_7aa7b31d014f;user_95408b36fcfc;user_a1e43805ee2b;user_b56c2dbf07f6;user_f2617d399b85,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=kangaroo,
v16_cal_017,找一张熊猫动物照片,visual_discovery,visual_discovery,False,user_36b29b277ef2,user_36b29b277ef2;user_47b60a4776b7;user_ab034285913b;user_b2ee8a16f70e;user_dd4217039f14,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=panda,
v16_cal_018,找一张向日葵花朵照片,visual_discovery,visual_discovery,False,user_7251afffda9c,user_7251afffda9c,calibration,frozen_ai_source_verified,source_metadata_or_ocr,closed_visual_taxonomy,caltech101 class=sunflower,
