query_id,query,expected_item_id,relevant_item_ids,candidate_item_ids,system_acceptance,system_acceptance_reason,system_top1_score,filename,split,category,query_type,generation_method,evidence,evidence_document_frequency,ambiguity_flags,review_status,usable_for_formal_metrics,human_judgment,human_query_revision,human_notes,diagnostic_priority_score,diagnostic_review_reasons,relevant_group_size,source_query_ids_for_group
rq100_001,哪份普通文档中提到了“Primary Date: 10/9/1996 1:23:59 PM”和“Received Date: 1996-Oct-09 13:23:59”？,user_369ee8426e8b,user_369ee8426e8b,,,,,balanced_clear_document_160.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,Primary Date: 10/9/1996 1:23:59 PM | Received Date: 1996-Oct-09 13:23:59,1,human_confirmation_required,待人工审核,False,,,,7.981,auto_generated,1,rq100_001
rq100_002,哪份普通文档中提到了“percentage of this growth.”和“decline in sales due to the lack of”？,user_c5d8dbf38b23,user_c5d8dbf38b23,,,,,balanced_clear_document_050.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,percentage of this growth. | decline in sales due to the lack of,1,human_confirmation_required,待人工审核,False,,,,7.9709,auto_generated,1,rq100_002
rq100_003,"哪份普通文档中提到了“Tuesday, February 03, 1998”和“Cigarette Companies Claiming Victory”？",user_1b9f610816e7,user_1b9f610816e7,,,,,balanced_clear_document_067.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,"Tuesday, February 03, 1998 | Cigarette Companies Claiming Victory",1,human_confirmation_required,待人工审核,False,,,,7.9762,auto_generated,1,rq100_003
rq100_004,哪份普通文档中提到了“and evaluation activities.”和“to Carolyn and Corky.”？,user_65eba821a61f,user_65eba821a61f,,,,,balanced_clear_document_030.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,and evaluation activities. | to Carolyn and Corky.,1,human_confirmation_required,待人工审核,False,,,,7.9813,auto_generated,1,rq100_004
rq100_005,哪份普通文档中提到了“packings white and rural.”和“skewed towards A and B counties.”？,user_24391b5243e2,user_24391b5243e2,,,,,balanced_clear_document_039.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,packings white and rural. | skewed towards A and B counties.,1,human_confirmation_required,待人工审核,False,,,,7.9817,auto_generated,1,rq100_005
rq100_006,哪份普通文档中提到了“Director of Biological Research”和“Academy of Toxicological Sciences”？,user_5a324f1d96b3,user_5a324f1d96b3,,,,,balanced_clear_document_170.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,Director of Biological Research | Academy of Toxicological Sciences,1,human_confirmation_required,待人工审核,False,,,,7.9759,auto_generated,1,rq100_006
rq100_007,哪份普通文档中提到了“(Questionnaire attached.)”和“of this lengtl will be included.”？,user_0d491393e2ba,user_0d491393e2ba,,,,,balanced_table_form_ticket_033.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,(Questionnaire attached.) | of this lengtl will be included.,1,human_confirmation_required,待人工审核,False,,,,7.982,auto_generated,1,rq100_007
rq100_008,哪份普通文档中提到了“smoking-related illnesses.”和“are the main carriers of viruses.”？,user_0e9fb75242ba,user_0e9fb75242ba,,,,,balanced_clear_document_154.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,smoking-related illnesses. | are the main carriers of viruses.,1,human_confirmation_required,待人工审核,False,,,,7.9745,auto_generated,1,rq100_008
rq100_009,哪份普通文档中提到了“Youth Tobacco Survey (YTS)”和“2000 Core Questionnaire”？,user_0750d318dd86,user_0750d318dd86;user_33faf9c899b3,,,,,balanced_table_form_ticket_014.jpg,train,general_text_document,text_explicit,distinctive_safe_ocr_evidence,Youth Tobacco Survey (YTS) | 2000 Core Questionnaire,1,human_confirmation_required,待人工审核,False,,,,7.9885,auto_generated,2,rq100_009
rq100_010,"哪份学术或技术文档中提到了“reactivity in these heterocycles.”和“Received October 8, 1980”？",user_b378f5c76b07,user_b378f5c76b07,,,,,balanced_complex_academic_114.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,"reactivity in these heterocycles. | Received October 8, 1980",1,human_confirmation_required,待人工审核,False,,,,7.9713,auto_generated,1,rq100_010
rq100_011,哪份学术或技术文档中提到了“Demeton-S-methyl sulfone”和“RECOVERIES (RT 98/2-SAMPLE 1)”？,user_bde87ddfa1da,user_bde87ddfa1da,,,,,balanced_complex_academic_127.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,Demeton-S-methyl sulfone | RECOVERIES (RT 98/2-SAMPLE 1),1,human_confirmation_required,待人工审核,False,,,,7.9797,auto_generated,1,rq100_011
rq100_012,哪份学术或技术文档中提到了“Psychological Analysis of”和“Establishment and Maintenance of”？,user_362e13aa0ac0,user_362e13aa0ac0,,,,,balanced_complex_academic_066.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,Psychological Analysis of | Establishment and Maintenance of,1,human_confirmation_required,待人工审核,False,,,,7.9784,auto_generated,1,rq100_012
rq100_013,"哪份学术或技术文档中提到了“Density Lipoprotein Levels in Mice”和“Manuscript received June 24, 1988”？",user_67edd27a0457,user_67edd27a0457,,,,,balanced_complex_academic_072.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,"Density Lipoprotein Levels in Mice | Manuscript received June 24, 1988",1,human_confirmation_required,待人工审核,False,,,,7.9747,auto_generated,1,rq100_013
rq100_014,哪份学术或技术文档中提到了“ENVIRONMENTAL HEALTH AND SAFETY”和“III. PHYSICAL DATA”？,user_f0c01c1f0b9f,user_f0c01c1f0b9f,,,,,balanced_complex_academic_104.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,ENVIRONMENTAL HEALTH AND SAFETY | III. PHYSICAL DATA,1,human_confirmation_required,待人工审核,False,,,,7.971,auto_generated,1,rq100_014
rq100_015,"哪份学术或技术文档中提到了“surface HLA-DR antigen.”和“from Sigma Chemical, St. Louis, MO.”？",user_541f9a4606ec,user_541f9a4606ec,,,,,balanced_complex_academic_063.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,"surface HLA-DR antigen. | from Sigma Chemical, St. Louis, MO.",1,human_confirmation_required,待人工审核,False,,,,7.9736,auto_generated,1,rq100_015
rq100_016,哪份学术或技术文档中提到了“CIRCULATORY SYSTEMS”和“DOMINGO M. AVIADO”？,user_02c30b0aa3b7,user_02c30b0aa3b7,,,,,balanced_complex_academic_105.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,CIRCULATORY SYSTEMS | DOMINGO M. AVIADO,1,human_confirmation_required,待人工审核,False,,,,7.9743,auto_generated,1,rq100_016
rq100_017,哪份学术或技术文档中提到了“U-Net中，输出RGB图像和阿尔法遮罩，但这样显”和“叶可扬，等：基于毛发点云深度剥离的神经渲染与时域稳定性政进方法”？,user_bf43adb1187b,user_bf43adb1187b,,,,,complex_academic_017.jpg,train,complex_academic,academic_semantic,distinctive_safe_ocr_evidence,U-Net中，输出RGB图像和阿尔法遮罩，但这样显 | 叶可扬，等：基于毛发点云深度剥离的神经渲染与时域稳定性政进方法,1,human_confirmation_required,待人工审核,False,,,,7.9723,auto_generated,1,rq100_017
rq100_018,哪张表格、表单或票据中包含“学校（从高中开始填写）”和“招聘信息了解渠道”？,user_ed0de10c887f,user_ed0de10c887f,,,,,expansion_table_form_ticket_038.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,学校（从高中开始填写） | 招聘信息了解渠道,1,human_confirmation_required,待人工审核,False,,,,7.9982,auto_generated,1,rq100_018
rq100_019,哪张表格、表单或票据中包含“缺点：性格内向”和“优点：勤俭节约”？,user_4e2000932fdc,user_4e2000932fdc;user_bb3b8e815f76,,,,,table_form_ticket_020.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,缺点：性格内向 | 优点：勤俭节约,1,human_confirmation_required,待人工审核,False,,,,7.9975,auto_generated,2,rq100_019
rq100_020,哪张表格、表单或票据中包含“考试成绩（课程名称、分数，含思想品德，总分、名次）”和“2019年6月本科毕业”？,user_9f5090d22187,user_9f5090d22187,,,,,clear_document_029.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,考试成绩（课程名称、分数，含思想品德，总分、名次） | 2019年6月本科毕业,1,human_confirmation_required,待人工审核,False,,,,7.9978,auto_generated,1,rq100_020
rq100_021,哪张表格、表单或票据中包含“在何单位工作或学习”和“高中毕业时间”？,user_27422020e4ee,user_101d04e597e9;user_27422020e4ee,,,,,expansion_table_form_ticket_008.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,在何单位工作或学习 | 高中毕业时间,1,human_confirmation_required,待人工审核,False,,,,7.9984,auto_generated,2,rq100_021
rq100_022,哪张表格、表单或票据中包含“登记日期：2017年10月9日”和“市级篮球比赛第二名”？,user_18d889a6dc3d,user_18d889a6dc3d,,,,,clear_document_023.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,登记日期：2017年10月9日 | 市级篮球比赛第二名,1,human_confirmation_required,待人工审核,False,,,,7.9989,auto_generated,1,rq100_022
rq100_023,哪张表格、表单或票据中包含“习（工作）态度、道德品质、遵纪守法等方面”和“四川大学招收硕士研究生政审调查表”？,user_29e5e9841a36,user_29e5e9841a36,,,,,expansion_table_form_ticket_029.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,习（工作）态度、道德品质、遵纪守法等方面 | 四川大学招收硕士研究生政审调查表,1,human_confirmation_required,待人工审核,False,,,,7.9984,auto_generated,1,rq100_023
rq100_024,哪张表格、表单或票据中包含“发电机以及发电机组的设计制造”和“中国石油集团济柴动力有限公司”？,user_77f823eac307,user_77f823eac307,,,,,table_form_ticket_024.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,发电机以及发电机组的设计制造 | 中国石油集团济柴动力有限公司,1,human_confirmation_required,待人工审核,False,,,,7.9992,auto_generated,1,rq100_024
rq100_025,哪张表格、表单或票据中包含“及创新新制作等手段和方法，制作“国家大剧院出品”的”和“剧目制作部通过制作西洋经典歌剧、挖掘中国经典题材”？,user_6887f067d1a2,user_6887f067d1a2;user_a494b7c760cf,,,,,clear_document_020.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,及创新新制作等手段和方法，制作“国家大剧院出品”的 | 剧目制作部通过制作西洋经典歌剧、挖掘中国经典题材,1,human_confirmation_required,待人工审核,False,,,,7.9981,auto_generated,2,rq100_025
rq100_026,哪张表格、表单或票据中包含“招聘聘用制警务辅助人员登记表”和“何部门任何职”？,user_535e9c39bbde,user_535e9c39bbde;user_b5719d78d65e,,,,,clear_document_015.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,招聘聘用制警务辅助人员登记表 | 何部门任何职,1,human_confirmation_required,待人工审核,False,,,,7.9981,auto_generated,2,rq100_026
rq100_027,哪张表格、表单或票据中包含“九、直系亲属和主要社会关系的基本情况”和“c.家庭其他成员和主要社会关系”？,user_0f5f1d88a400,user_0f5f1d88a400;user_cc5f05543269,,,,,table_form_ticket_011.jpg,train,table_form_ticket,table_field,distinctive_safe_ocr_evidence,九、直系亲属和主要社会关系的基本情况 | c.家庭其他成员和主要社会关系,1,human_confirmation_required,待人工审核,False,,,,7.999,auto_generated,2,rq100_027
rq100_028,哪张幻灯片或海报中出现“Feature Extraction”和“Network Inference”？,user_a7086bc563e7,user_a7086bc563e7,,,,,ppt_poster_slide_012.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,Feature Extraction | Network Inference,1,human_confirmation_required,待人工审核,False,,,,7.976,auto_generated,1,rq100_028
rq100_029,哪张幻灯片或海报中出现“Research/Strategy/Management”和“NATIONAL MONITOR #14”？,user_a4f9bdb5cfbe,user_a4f9bdb5cfbe;user_f50416193dfd,,,,,balanced_table_form_ticket_008.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,Research/Strategy/Management | NATIONAL MONITOR #14,1,human_confirmation_required,待人工审核,False,,,,7.9892,auto_generated,2,rq100_029
rq100_030,哪张幻灯片或海报中出现“international brands.”和“UsA's total control.”？,user_a7b90b59a947,user_a7b90b59a947,,,,,balanced_ppt_poster_slide_105.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,international brands. | UsA's total control.,1,human_confirmation_required,待人工审核,False,,,,7.9776,auto_generated,1,rq100_030
rq100_031,哪张幻灯片或海报中出现“más personas que nunca”和“Ahora fuman”？,user_e76fd2ccb191,user_e76fd2ccb191,,,,,balanced_ppt_poster_slide_065.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,más personas que nunca | Ahora fuman,1,human_confirmation_required,待人工审核,False,,,,7.986,auto_generated,1,rq100_031
rq100_032,哪张幻灯片或海报中出现“Mainstream Smoke Fractions”和“In Vitro Cytotoxicity”？,user_6fc77000e558,user_6fc77000e558,,,,,balanced_ppt_poster_slide_154.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,Mainstream Smoke Fractions | In Vitro Cytotoxicity,1,human_confirmation_required,待人工审核,False,,,,7.9808,auto_generated,1,rq100_032
rq100_033,哪张幻灯片或海报中出现“low incidence of iitation.”和“Nicotine Patches/16”？,user_c819c9fff280,user_c819c9fff280,,,,,balanced_ppt_poster_slide_106.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,low incidence of iitation. | Nicotine Patches/16,1,human_confirmation_required,待人工审核,False,,,,7.9791,auto_generated,1,rq100_033
rq100_034,哪张幻灯片或海报中出现“Action Against Access”和“PHILIPMORRIS U.S.A.”？,user_5c9c6dceab4e,user_5c9c6dceab4e,,,,,balanced_ppt_poster_slide_073.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,Action Against Access | PHILIPMORRIS U.S.A.,1,human_confirmation_required,待人工审核,False,,,,7.9753,auto_generated,1,rq100_034
rq100_035,哪张幻灯片或海报中出现“INVESTMENT COMMUNITY PRESENTATION”和“OVERSEAS TOBACCO BUSINESS.”？,user_dbbbf73b9204,user_dbbbf73b9204,,,,,balanced_ppt_poster_slide_066.jpg,train,ppt_poster_slide,slide_semantic,distinctive_safe_ocr_evidence,INVESTMENT COMMUNITY PRESENTATION | OVERSEAS TOBACCO BUSINESS.,1,human_confirmation_required,待人工审核,False,,,,7.9758,auto_generated,1,rq100_035
rq100_036,哪张软件、网页或代码截图中出现“Pipeline Python SDK”和“PaddleNLP Operator”？,user_792b20891a61,user_42cbd8de867d;user_792b20891a61,,,,,software_web_code_007.jpg,train,software_web_code,interface_semantic,distinctive_safe_ocr_evidence,Pipeline Python SDK | PaddleNLP Operator,1,human_confirmation_required,待人工审核,False,,,,7.9895,auto_generated,2,rq100_036
rq100_037,哪张软件、网页或代码截图中出现“labels/ppocr_keys_v1.txt”和“Choose pre-installed models”？,user_7f812e7368c2,user_7f812e7368c2,,,,,software_web_code_017.jpg,train,software_web_code,interface_semantic,distinctive_safe_ocr_evidence,labels/ppocr_keys_v1.txt | Choose pre-installed models,1,human_confirmation_required,待人工审核,False,,,,7.9834,auto_generated,1,rq100_037
rq100_038,哪张软件、网页或代码截图中出现“Model: ch_PF”和“STATUS:load”？,user_ea2d6cda81f5,user_ea2d6cda81f5,,,,,software_web_code_018.jpg,train,software_web_code,interface_semantic,distinctive_safe_ocr_evidence,Model: ch_PF | STATUS:load,1,human_confirmation_required,待人工审核,False,,,,7.9795,auto_generated,1,rq100_038
