query_id,query,expected_item_id,relevant_item_ids,query_type,review_status,split,category,review_decision,human_notes,is_no_answer
rq100_001,哪份普通文档中提到了“Primary Date: 10/9/1996 1:23:59 PM”和“Received Date: 1996-Oct-09 13:23:59”？,user_369ee8426e8b,user_369ee8426e8b,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_002,哪份普通文档中提到了“percentage of this growth.”和“decline in sales due to the lack of”？,user_c5d8dbf38b23,user_c5d8dbf38b23,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_003,"哪份普通文档中提到了“Tuesday, February 03, 1998”和“Cigarette Companies Claiming Victory”？",user_1b9f610816e7,user_1b9f610816e7,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_004,哪份普通文档中提到了“and evaluation activities.”和“to Carolyn and Corky.”？,user_65eba821a61f,user_65eba821a61f,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_005,哪份普通文档中提到了“packings white and rural.”和“skewed towards A and B counties.”？,user_24391b5243e2,user_24391b5243e2,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_006,哪份普通文档中提到了“Director of Biological Research”和“Academy of Toxicological Sciences”？,user_5a324f1d96b3,user_5a324f1d96b3,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_007,哪份普通文档中提到了“(Questionnaire attached.)”和“of this lengtl will be included.”？,user_0d491393e2ba,user_0d491393e2ba,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_008,哪份普通文档中提到了“smoking-related illnesses.”和“are the main carriers of viruses.”？,user_0e9fb75242ba,user_0e9fb75242ba,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_009,哪份普通文档中提到了“Youth Tobacco Survey (YTS)”和“2000 Core Questionnaire”？,user_0750d318dd86,user_0750d318dd86;user_33faf9c899b3,text_explicit,已确认,train,general_text_document,accepted,,False
rq100_010,"哪份学术或技术文档中提到了“reactivity in these heterocycles.”和“Received October 8, 1980”？",user_b378f5c76b07,user_b378f5c76b07,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_011,哪份学术或技术文档中提到了“Demeton-S-methyl sulfone”和“RECOVERIES (RT 98/2-SAMPLE 1)”？,user_bde87ddfa1da,user_bde87ddfa1da,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_012,哪份学术或技术文档中提到了“Psychological Analysis of”和“Establishment and Maintenance of”？,user_362e13aa0ac0,user_362e13aa0ac0,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_013,"哪份学术或技术文档中提到了“Density Lipoprotein Levels in Mice”和“Manuscript received June 24, 1988”？",user_67edd27a0457,user_67edd27a0457,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_014,哪份学术或技术文档中提到了“ENVIRONMENTAL HEALTH AND SAFETY”和“III. PHYSICAL DATA”？,user_f0c01c1f0b9f,user_f0c01c1f0b9f,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_015,"哪份学术或技术文档中提到了“surface HLA-DR antigen.”和“from Sigma Chemical, St. Louis, MO.”？",user_541f9a4606ec,user_541f9a4606ec,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_016,哪份学术或技术文档中提到了“CIRCULATORY SYSTEMS”和“DOMINGO M. AVIADO”？,user_02c30b0aa3b7,user_02c30b0aa3b7,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_017,哪份学术或技术文档中提到了“U-Net中，输出RGB图像和阿尔法遮罩，但这样显”和“叶可扬，等：基于毛发点云深度剥离的神经渲染与时域稳定性政进方法”？,user_bf43adb1187b,user_bf43adb1187b,academic_semantic,已确认,train,complex_academic,accepted,,False
rq100_018,哪张表格、表单或票据中包含“学校（从高中开始填写）”和“招聘信息了解渠道”？,user_ed0de10c887f,user_ed0de10c887f,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_019,哪张表格、表单或票据中包含“缺点：性格内向”和“优点：勤俭节约”？,user_4e2000932fdc,user_4e2000932fdc;user_bb3b8e815f76,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_020,哪张表格、表单或票据中包含“考试成绩（课程名称、分数，含思想品德，总分、名次）”和“2019年6月本科毕业”？,user_9f5090d22187,user_9f5090d22187,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_021,哪张表格、表单或票据中包含“在何单位工作或学习”和“高中毕业时间”？,user_27422020e4ee,user_101d04e597e9;user_27422020e4ee,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_022,哪张表格、表单或票据中包含“登记日期：2017年10月9日”和“市级篮球比赛第二名”？,user_18d889a6dc3d,user_18d889a6dc3d,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_023,哪张表格、表单或票据中包含“习（工作）态度、道德品质、遵纪守法等方面”和“四川大学招收硕士研究生政审调查表”？,user_29e5e9841a36,user_29e5e9841a36,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_024,哪张表格、表单或票据中包含“发电机以及发电机组的设计制造”和“中国石油集团济柴动力有限公司”？,user_77f823eac307,user_77f823eac307,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_025,哪张表格、表单或票据中包含“及创新新制作等手段和方法，制作“国家大剧院出品”的”和“剧目制作部通过制作西洋经典歌剧、挖掘中国经典题材”？,user_6887f067d1a2,user_6887f067d1a2;user_a494b7c760cf,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_026,哪张表格、表单或票据中包含“招聘聘用制警务辅助人员登记表”和“何部门任何职”？,user_535e9c39bbde,user_535e9c39bbde;user_b5719d78d65e,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_027,哪张表格、表单或票据中包含“九、直系亲属和主要社会关系的基本情况”和“c.家庭其他成员和主要社会关系”？,user_0f5f1d88a400,user_0f5f1d88a400;user_cc5f05543269,table_field,已确认,train,table_form_ticket,accepted,,False
rq100_028,哪张幻灯片或海报中出现“Feature Extraction”和“Network Inference”？,user_a7086bc563e7,user_a7086bc563e7,slide_semantic,已确认,train,ppt_poster_slide,accepted,,False
rq100_029,哪张幻灯片或海报中出现“Research/Strategy/Management”和“NATIONAL MONITOR #14”？,user_a4f9bdb5cfbe,user_a4f9bdb5cfbe;user_f50416193dfd,slide_semantic,已确认,train,ppt_poster_slide,accepted,,False
rq100_030,哪张幻灯片或海报中出现“international brands.”和“UsA's total control.”？,user_a7b90b59a947,user_a7b90b59a947,slide_semantic,已确认,train,ppt_poster_slide,accepted,,False
rq100_031,哪张幻灯片或海报中出现“más personas que nunca”和“Ahora fuman”？,user_e76fd2ccb191,user_e76fd2ccb191,slide_semantic,已确认,train,ppt_poster_slide,accepted,,False
